Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,321.625,-107.55125,180.0,bottom
C10,100nF,C_0402_1005Metric,312.41375,-112.275,0.0,bottom
C11,100nF,C_0402_1005Metric,318.213008,-108.238379,90.0,bottom
C12,100nF,C_0402_1005Metric,324.48625,-112.275,180.0,bottom
C13,100nF,C_0402_1005Metric,325.59375,-116.895613,180.0,bottom
C14,100nF,C_0402_1005Metric,317.65625,-122.568164,270.0,bottom
C15,100nF,C_0402_1005Metric,311.30625,-116.895613,0.0,bottom
C16,1uF,C_0402_1005Metric,42.6625,-56.35625,90.0,bottom
C17,1uF,C_0402_1005Metric,48.9125,-56.35625,90.0,bottom
C2,22pF,C_0402_1005Metric,323.388496,-124.4625,90.0,bottom
C3,22pF,C_0402_1005Metric,320.613496,-126.84375,0.0,bottom
C4,1uF,C_0402_1005Metric,315.275,-109.695,90.0,bottom
C5,100nF,C_0402_1005Metric,319.24375,-108.27375,90.0,bottom
C6,100nF,C_0402_1005Metric,316.644746,-122.56125,270.0,bottom
C7,10uF,C_0402_1005Metric,47.81875,-56.35625,270.0,bottom
C8,1uF,C_0402_1005Metric,314.23707,-109.706989,90.0,bottom
C9,100nF,C_0402_1005Metric,312.41375,-111.28125,0.0,bottom
D1,D_Small,D_SOD-123F,29.47667,-49.7875,90.0,bottom
D10,D_Small,D_SOD-123F,239.02667,-49.7875,90.0,bottom
D100,D_Small,D_SOD-123F,358.08917,-154.5625,90.0,bottom
D101,D_Small,D_SOD-123F,391.42667,-154.5625,90.0,bottom
D102,D_Small,D_SOD-123F,420.00167,-155.875,90.0,bottom
D11,D_Small,D_SOD-123F,258.07667,-51.1,90.0,bottom
D12,D_Small,D_SOD-123F,277.12667,-49.7875,90.0,bottom
D13,D_Small,D_SOD-123F,296.17667,-51.1,90.0,bottom
D14,D_Small,D_SOD-123F,439.05167,-49.7875,90.0,bottom
D15,D_Small,D_SOD-123F,29.47667,-78.3625,90.0,bottom
D16,D_Small,D_SOD-123F,48.52667,-79.675,90.0,bottom
D17,D_Small,D_SOD-123F,67.57667,-78.3625,90.0,bottom
D18,D_Small,D_SOD-123F,86.62667,-79.675,90.0,bottom
D19,D_Small,D_SOD-123F,105.67667,-78.3625,90.0,bottom
D2,D_Small,D_SOD-123F,67.57667,-49.7875,90.0,bottom
D20,D_Small,D_SOD-123F,124.72667,-79.675,90.0,bottom
D21,D_Small,D_SOD-123F,143.77667,-78.3625,90.0,bottom
D22,D_Small,D_SOD-123F,162.82667,-79.675,90.0,bottom
D23,D_Small,D_SOD-123F,181.87667,-78.3625,90.0,bottom
D24,D_Small,D_SOD-123F,200.92667,-79.675,90.0,bottom
D25,D_Small,D_SOD-123F,219.97667,-78.3625,90.0,bottom
D26,D_Small,D_SOD-123F,239.02667,-79.675,90.0,bottom
D27,D_Small,D_SOD-123F,258.07667,-78.3625,90.0,bottom
D28,D_Small,D_SOD-123F,286.65167,-79.675,90.0,bottom
D29,D_Small,D_SOD-123F,319.98917,-78.3625,90.0,bottom
D3,D_Small,D_SOD-123F,86.62667,-51.1,90.0,bottom
D30,D_Small,D_SOD-123F,339.03917,-79.675,90.0,bottom
D31,D_Small,D_SOD-123F,358.08917,-78.3625,90.0,bottom
D32,D_Small,D_SOD-123F,381.90167,-79.675,90.0,bottom
D33,D_Small,D_SOD-123F,400.95167,-78.3625,90.0,bottom
D34,D_Small,D_SOD-123F,420.00167,-79.675,90.0,bottom
D35,D_Small,D_SOD-123F,439.05167,-78.3625,90.0,bottom
D36,D_Small,D_SOD-123F,34.23917,-97.4125,90.0,bottom
D37,D_Small,D_SOD-123F,58.05167,-98.725,90.0,bottom
D38,D_Small,D_SOD-123F,77.10167,-97.4125,90.0,bottom
D39,D_Small,D_SOD-123F,96.15167,-98.725,90.0,bottom
D4,D_Small,D_SOD-123F,105.67667,-49.7875,90.0,bottom
D40,D_Small,D_SOD-123F,115.20167,-97.4125,90.0,bottom
D41,D_Small,D_SOD-123F,134.25167,-98.725,90.0,bottom
D42,D_Small,D_SOD-123F,153.30167,-97.4125,90.0,bottom
D43,D_Small,D_SOD-123F,172.35167,-98.725,90.0,bottom
D44,D_Small,D_SOD-123F,191.40167,-97.4125,90.0,bottom
D45,D_Small,D_SOD-123F,210.45167,-98.725,90.0,bottom
D46,D_Small,D_SOD-123F,229.50167,-97.4125,90.0,bottom
D47,D_Small,D_SOD-123F,248.55167,-98.725,90.0,bottom
D48,D_Small,D_SOD-123F,267.60167,-97.4125,90.0,bottom
D49,D_Small,D_SOD-123F,291.41417,-98.725,90.0,bottom
D5,D_Small,D_SOD-123F,124.72667,-51.1,90.0,bottom
D50,D_Small,D_SOD-123F,319.98917,-97.4125,90.0,bottom
D51,D_Small,D_SOD-123F,339.03917,-98.725,90.0,bottom
D52,D_Small,D_SOD-123F,358.08917,-97.4125,90.0,bottom
D53,D_Small,D_SOD-123F,381.90167,-98.725,90.0,bottom
D54,D_Small,D_SOD-123F,400.95167,-97.4125,90.0,bottom
D55,D_Small,D_SOD-123F,420.00167,-98.725,90.0,bottom
D56,D_Small,D_SOD-123F,439.05167,-106.9375,90.0,bottom
D57,D_Small,D_SOD-123F,36.62042,-116.4625,90.0,bottom
D58,D_Small,D_SOD-123F,62.81417,-117.775,90.0,bottom
D59,D_Small,D_SOD-123F,81.86417,-116.4625,90.0,bottom
D6,D_Small,D_SOD-123F,153.30167,-49.7875,90.0,bottom
D60,D_Small,D_SOD-123F,100.91417,-117.775,90.0,bottom
D61,D_Small,D_SOD-123F,119.96417,-116.4625,90.0,bottom
D62,D_Small,D_SOD-123F,139.01417,-117.775,90.0,bottom
D63,D_Small,D_SOD-123F,158.06417,-116.4625,90.0,bottom
D64,D_Small,D_SOD-123F,177.11417,-117.775,90.0,bottom
D65,D_Small,D_SOD-123F,196.16417,-116.4625,90.0,bottom
D66,D_Small,D_SOD-123F,215.21417,-117.775,90.0,bottom
D67,D_Small,D_SOD-123F,234.26417,-116.4625,90.0,bottom
D68,D_Small,D_SOD-123F,253.31417,-117.775,90.0,bottom
D69,D_Small,D_SOD-123F,284.27042,-117.775,90.0,bottom
D7,D_Small,D_SOD-123F,172.35167,-51.1,90.0,bottom
D70,D_Small,D_SOD-123F,381.90167,-117.775,90.0,bottom
D71,D_Small,D_SOD-123F,400.95167,-116.4625,90.0,bottom
D72,D_Small,D_SOD-123F,420.00167,-117.775,90.0,bottom
D73,D_Small,D_SOD-123F,41.38292,-135.5125,90.0,bottom
D74,D_Small,D_SOD-123F,72.33917,-136.825,90.0,bottom
D75,D_Small,D_SOD-123F,91.38917,-135.5125,90.0,bottom
D76,D_Small,D_SOD-123F,110.43917,-136.825,90.0,bottom
D77,D_Small,D_SOD-123F,129.48917,-135.5125,90.0,bottom
D78,D_Small,D_SOD-123F,148.53917,-136.825,90.0,bottom
D79,D_Small,D_SOD-123F,167.58917,-135.5125,90.0,bottom
D8,D_Small,D_SOD-123F,191.40167,-49.7875,90.0,bottom
D80,D_Small,D_SOD-123F,186.63917,-136.825,90.0,bottom
D81,D_Small,D_SOD-123F,205.68917,-135.5125,90.0,bottom
D82,D_Small,D_SOD-123F,224.73917,-136.825,90.0,bottom
D83,D_Small,D_SOD-123F,243.78917,-135.5125,90.0,bottom
D84,D_Small,D_SOD-123F,279.50792,-135.5125,90.0,bottom
D85,D_Small,D_SOD-123F,339.03917,-136.825,90.0,bottom
D86,D_Small,D_SOD-123F,381.90167,-136.825,90.0,bottom
D87,D_Small,D_SOD-123F,400.95167,-135.5125,90.0,bottom
D88,D_Small,D_SOD-123F,420.00167,-136.825,90.0,bottom
D89,D_Small,D_SOD-123F,439.05167,-145.0375,90.0,bottom
D9,D_Small,D_SOD-123F,210.45167,-51.1,90.0,bottom
D90,D_Small,D_SOD-123F,31.85792,-154.5625,90.0,bottom
D91,D_Small,D_SOD-123F,55.67042,-155.875,90.0,bottom
D92,D_Small,D_SOD-123F,79.48292,-154.5625,90.0,bottom
D93,D_Small,D_SOD-123F,150.92042,-155.875,90.0,bottom
D94,D_Small,D_SOD-123F,222.35792,-155.875,90.0,bottom
D95,D_Small,D_SOD-123F,246.17042,-154.5625,90.0,bottom
D96,D_Small,D_SOD-123F,269.98292,-155.875,90.0,bottom
D97,D_Small,D_SOD-123F,293.79542,-154.5625,90.0,bottom
D98,D_Small,D_SOD-123F,319.98917,-154.5625,90.0,bottom
D99,D_Small,D_SOD-123F,339.03917,-155.875,90.0,bottom
F1,500mA,Fuse_1206_3216Metric,42.06875,-51.10625,270.0,bottom
IC1,W25Q16JVUXIQ,SON50P300X200X60-9N,322.41875,-109.38125,0.0,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,45.24375,-42.435,180.0,bottom
R1,27R,R_0603_1608Metric,314.898936,-105.595538,225.0,bottom
R2,27R,R_0603_1608Metric,313.764314,-106.706918,225.0,bottom
R4,1k,R_0402_1005Metric,341.3125,-104.775,90.0,bottom
R5,5k1,R_0402_1005Metric,43.65625,-47.325,270.0,bottom
R6,5k1,R_0402_1005Metric,47.625,-47.325,270.0,bottom
R7,5.1k,R_0402_1005Metric,330.2,-104.775,90.0,bottom
R8,1k,R_0402_1005Metric,317.838496,-124.4625,90.0,bottom
SW1,boot,SW_SPST_TL3342,346.86875,-104.775,180.0,bottom
SWR1,Reset,SW_SPST_TL3342,335.75625,-104.775,180.0,bottom
U1,RP2040,RP2040-QFN-56,318.29375,-115.8875,0.0,bottom
U2,USBLC6-2SC6,SOT-23-6,45.24375,-51.29375,90.0,bottom
U3,XC6206PxxxMR-Regulator_Linear,SOT-23,45.24375,-56.35625,0.0,bottom
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,320.613496,-124.4625,180.0,bottom
